Input 					 MMPG without Bribe 	 MMPG with Bribe
randomgame-9-1.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.097884
randomgame-12-8.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.11215
randomgame-12-9.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.199255
randomgame-12-10.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.367519
randomgame-12-11.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.446721
randomgame-12-12.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.340654
randomgame-12-13.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.528029
randomgame-12-14.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.333333 Time: 0.319805
randomgame-12-15.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.29844
randomgame-12-16.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.481352
randomgame-12-17.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 Time: 0.269681
randomgame-12-18.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.486711
randomgame-12-19.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.305666
randomgame-12-20.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.594732
randomgame-12-21.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.328761
randomgame-12-22.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.243775
randomgame-12-23.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.217225
randomgame-12-24.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.301346
randomgame-12-25.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.465631
randomgame-12-26.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.367971
randomgame-12-27.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.242524
randomgame-12-28.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.247366
randomgame-12-29.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.474865
randomgame-12-30.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.135361
randomgame-13-1.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.241324
randomgame-13-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.308364
randomgame-13-3.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.418204
randomgame-13-4.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.456545
randomgame-13-5.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.333333 Time: 0.396265
randomgame-13-6.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.374334
randomgame-13-7.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.506721
randomgame-13-8.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.382815
randomgame-13-9.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667 Time: 0.320895
randomgame-13-10.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.226057
randomgame-13-11.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.526418
randomgame-13-12.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.238007
randomgame-13-13.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.5 Time: 0.41685
randomgame-13-14.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.299697
randomgame-13-15.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 Time: 0.573109
randomgame-13-16.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.406316
randomgame-13-17.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 Time: 0.402244
randomgame-13-18.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.426041
randomgame-13-19.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.613731
randomgame-13-20.pg 	 FinalAnswer : 0.714286 	 FinalAnswer : 0.714286 Time: 0.492918
randomgame-13-21.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.397667
randomgame-13-22.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.36891
randomgame-13-23.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.483279
randomgame-13-24.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.422788
randomgame-13-25.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.493522
randomgame-13-26.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.394771
randomgame-13-27.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.324297
randomgame-13-28.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6 Time: 0.553571
randomgame-13-29.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.361894
randomgame-13-30.pg 	 FinalAnswer : 0.541667 	 FinalAnswer : 0.541667 Time: 0.538326
randomgame-14-1.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.833333 Time: 0.815833
randomgame-14-2.pg 	 FinalAnswer : 0 	 FinalAnswer : 0.333333 Time: 0.448906
randomgame-15-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.496223
randomgame-15-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.344803
randomgame-15-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.630317
randomgame-15-4.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75 Time: 0.833205
randomgame-15-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.75 Time: 0.375243
randomgame-15-6.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.305563
randomgame-15-7.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.402302
randomgame-15-8.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.507515
randomgame-15-9.pg 	 FinalAnswer : 0 	 FinalAnswer : 0 Time: 0.359711
randomgame-15-10.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.450783
randomgame-15-11.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75 Time: 0.563206
randomgame-15-12.pg 	 FinalAnswer : 0.25 	 FinalAnswer : 0.25 Time: 0.640021
randomgame-15-13.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.447082
randomgame-15-14.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.879725
randomgame-15-15.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.849456
randomgame-15-16.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6 Time: 0.715821
randomgame-15-17.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.724309
randomgame-15-18.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.815367
randomgame-15-19.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.386135
randomgame-15-20.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.530423
randomgame-15-21.pg 	 FinalAnswer : 0.166667 	 FinalAnswer : 0.166667 Time: 0.616295
randomgame-15-22.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333 Time: 0.57949
randomgame-15-23.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.417527
randomgame-15-24.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 1.11928
randomgame-15-25.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.587772
randomgame-15-26.pg 	 FinalAnswer : 0.928571 	 FinalAnswer : 0.964286 Time: 1.28379
randomgame-15-27.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5 Time: 0.493503
randomgame-15-28.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.377743
randomgame-15-29.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.502432
randomgame-15-30.pg 	 FinalAnswer : 1 	 FinalAnswer : 1 Time: 0.635266
